source,destination,type_avis,date_avis
"marc_le_grand","fernanda","like","2025-04-30"
"nicobru","eric35","like","2025-04-02"
"robertmasson","georgesd","like","2025-02-05"
"marc_le_grand","bernard_l","like","2025-05-02"
"chris96","robertmasson","like","2025-03-13"
"michmich","paul_bernard","like","2025-01-07"
"falin","nathalie79","like","2025-01-21"
"bernard_l","ta_super_copine","like","2025-03-29"
"plbrest","denisparis","like","2025-03-15"
"tj007","claudewhite","like","2025-01-28"
"fabrejean","oliver","like","2025-01-31"
"paul_bernard","tj007","like","2025-01-10"
"nath33","alainnn","like","2025-04-21"
"fabrejean","helene_vincent","like","2025-03-22"
"nicoledubois","robinm","like","2025-01-07"
"georgesd","raygarnier","like","2025-02-13"
"tj007","martine95","like","2025-04-02"
"vingt_cent","paul_bernard","like","2025-02-21"
"robertmasson","denisparis","like","2025-01-15"
"denisparis","raygarnier","like","2025-02-11"
"nath33","ymathieu","like","2025-05-11"
"serge01","helene_vincent","like","2025-04-14"
"nicobru","albertmat","like","2025-01-12"
"oliver","ta_super_copine","like","2025-02-08"
"helene_vincent","fabrejean","like","2025-05-15"
"michmich","nath33","like","2025-03-06"
"michelb","sanchezzz","like","2025-01-14"
"tj007","nicoledubois","like","2025-01-01"
"_hellene","martine95","like","2025-05-09"
"michmich","martine95","like","2025-03-19"
"alainnn","morel_eric","like","2025-01-23"
"oliver","sanchezzz","like","2025-04-14"
"michelb","brunaa","like","2025-04-21"
"chris94","nath33","like","2025-01-07"
"morel_eric","patoche","like","2025-01-06"
"meunierbruno","falin","like","2025-03-26"
"supermatth","sanchezzz","like","2025-03-20"
"tj007","nathalie79","like","2025-01-21"
"marc_le_grand","ta_super_copine","like","2025-05-05"
"marc_le_grand","plbrest","like","2025-04-17"
"patrick_perez","bernard_l","like","2025-05-13"
"oliver","chris94","like","2025-03-21"
"plbrest","helene_vincent","like","2025-05-05"
"patrick_perez","eric35","like","2025-03-15"
"denisparis","mercier59","like","2025-01-11"
"mercier59","marc_le_grand","like","2025-05-05"
"nathalie79","martine95","like","2025-03-24"
"garciap","nicoledubois","like","2025-02-25"
"gillesl","ta_super_copine","like","2025-01-25"
"georgesd","paul_bernard","like","2025-01-18"
"eric35","robertmasson","like","2025-02-27"
"chris96","isa_belle","like","2025-04-01"
"ta_super_copine","thierry9292","like","2025-04-27"
"nathalie79","michmich","like","2025-04-21"
"bernard_l","georgesd","like","2025-05-16"
"soso99","sophie","like","2025-02-22"
"sophie","marc_le_grand","like","2025-01-21"
"chris96","denisparis","like","2025-01-30"
"meunierbruno","sophie","like","2025-05-13"
"alainnn","robertmasson","like","2025-01-20"
"filozof","isa_belle","like","2025-02-13"
"falin","michmich","like","2025-01-09"
"michmich","chris94","like","2025-01-22"
"morel_eric","thierry9292","like","2025-04-20"
"patoche","eric35","like","2025-04-14"
"nicoledubois","eric35","like","2025-04-19"
"dupontdupond","nicoledubois","like","2025-01-14"
"eric35","claudewhite","like","2025-02-04"
"martine95","fabrejean","like","2025-04-25"
"isa_belle","domdom1992","like","2025-01-12"
"martine95","michelb","like","2025-01-25"
"claudewhite","mercier59","like","2025-03-01"
"xddl","mercier59","like","2025-04-04"
"robertmasson","chris96","like","2025-04-23"
"nicoledubois","gillesl","like","2025-01-01"
"michmich","soso99","like","2025-01-17"
"plbrest","fabrejean","like","2025-03-23"
"chris94","meunierbruno","like","2025-01-12"
"soso99","meunierbruno","like","2025-01-18"
"bernard_l","raygarnier","like","2025-04-07"
"michmich","georgesd","like","2025-03-17"
"isa_belle","supermatth","like","2025-03-21"
"eric35","brunaa","like","2025-01-04"
"nathalie79","paul_bernard","like","2025-03-04"
"chris96","ymathieu","like","2025-04-10"
"denisparis","plbrest","like","2025-05-16"
"fabrejean","fernanda","like","2025-03-11"
"ymathieu","_hellene","like","2025-03-21"
"sophie","_hellene","like","2025-05-06"
"reneaubert","mercier59","like","2025-02-06"
"ta_super_copine","nathalie79","like","2025-01-27"
"nathalie79","georgesd","like","2025-01-27"
"thierry9292","oliver","like","2025-03-20"
"robertmasson","soso99","like","2025-02-21"
"raygarnier","plbrest","like","2025-04-23"
"fabrejean","nicobru","like","2025-04-14"
"sophie","patrick_perez","like","2025-04-06"
"patrick_perez","georgesd","like","2025-02-11"
"meunierbruno","nath33","like","2025-03-20"
"eric35","sanchezzz","like","2025-02-11"
"vingt_cent","ll9933","like","2025-05-13"
"martine95","chris96","like","2025-04-24"
"ymathieu","morel_eric","like","2025-03-30"
"ymathieu","falin","like","2025-05-03"
"vingt_cent","ymathieu","like","2025-02-19"
"chris96","vingt_cent","like","2025-01-11"
"fd1994","plbrest","like","2025-02-15"
"alainnn","thierry9292","like","2025-03-24"
"patrick_perez","vingt_cent","like","2025-02-27"
"soso99","_hellene","like","2025-02-03"
"oliver","michelb","like","2025-02-17"
"denisparis","chris94","like","2025-01-11"
"brunaa","oliver","like","2025-01-14"
"plbrest","meunierbruno","like","2025-01-05"
"fabrejean","isa37","like","2025-03-12"
"chris96","ll9933","like","2025-04-10"
"plbrest","nicoledubois","like","2025-01-15"
"alainnn","soso99","like","2025-01-06"
"ymathieu","marc_le_grand","like","2025-04-25"
"robertmasson","michmich","like","2025-02-25"
"isa37","eric35","like","2025-01-06"
"chris94","ymathieu","like","2025-03-29"
"eric35","nicog","like","2025-02-23"
"morel_eric","tj007","like","2025-03-21"
"gillesl","helene_vincent","like","2025-02-10"
"meunierbruno","oliver","like","2025-02-10"
"michmich","patrick_perez","like","2025-05-02"
"fabrejean","sanchezzz","like","2025-05-06"
"marc_le_grand","ymathieu","like","2025-02-24"
"ll9933","michmich","like","2025-02-23"
"soso99","denisparis","like","2025-04-09"
"supermatth","brunaa","like","2025-02-28"
"plbrest","patrick_perez","like","2025-01-18"
"robertmasson","michelb","like","2025-03-20"
"ll9933","nath33","like","2025-03-03"
"ll9933","meunierbruno","like","2025-03-28"
