id,genre,pref,couleur_cheveux,couleur_yeux,poids,taille
"reneaubert","homme","femme","blond","marron",70,172
"henri04","homme","homme","noir",,65,164
"morel_eric","homme","tout",,"bleu",,180
"gillesl","homme","femme","roux","vert",,174
"denisparis","autre","tout",,,,
"nath","femme","femme","blond","bleu",,175
"falin",,,,,,
"fd1994","homme","homme","noir","marron",75,179
"plbrest","homme",,,,,192
"fernanda","homme","homme","brun","gris",80,175
"helene_vincent","femme","homme","brun","noir",,
"nicog","homme","homme","roux",,,
"michelb","homme","tout",,"vert",,162
"brunaa","femme","homme","brun","marron",75,176
"garciap","homme","femme","blond",,,
"eric35","homme",,,"bleu",,
"ta_super_copine","femme","tout","noir","noir",64,168
"patoche","homme","homme",,,,
"fabrejean","homme","tout",,,,
"filozof",,"femme","noir", "marron", 60, 161
"mercier59","femme","tout", "blond", "vert",,
"marie88","femme","femme",,,,
"albertmat","homme","homme",,,,195
"robertmasson","autre","tout",,,,
"thierry9292",,,,,,
"robinm","homme","femme","roux","marron",,
"nicoledubois","femme","homme","brun","bleu",,
"oliver","homme","tout","roux","vert",73,176
"serge01","homme","femme",,,,
"marc_le_grand","homme",,,"noir",,204
"xddl","homme","femme","noir","marron",,182
"isa37","femme","homme",,,,
"raymond_du_13","homme","femme","blanc",,,
"sanchezzz","femme","homme",,,,
"isa_belle","femme","tout",,,,
"tj007","homme","femme",,,,
"nicobru","homme","homme","brun","noir",90,190
"dupontdupond","homme","femme",,,,
"domdom1992","femme","femme",,,,
"supermatth","homme","femme",,,,
