chercheur,couleur_cheveux,couleur_yeux,poids,taille,age_min,age_max
"fernanda","brun","bleu",,175,20,25
"fernanda","brun","vert",84,196,19,29
"labossdu94","brun","gris",,180,20,23
"labossdu94","blond","vert",80,170,40,85
"reneaubert","brun","noir",83,189,25,34
"henri04","blanc","marron",66,148,34,40
"henri04","brun","gris",58,191,36,46
"henri04","noir","bleu",63,148,34,44
"morel_eric","blanc","marron",84,179,37,45
"morel_eric","noir","marron",70,165,35,39
"gillesl","brun","noir",63,174,26,31
"denisparis","brun","bleu",72,156,24,25
"denisparis","noir","marron",83,185,34,41
"denisparis","roux","marron",55,147,19,29
"nath","blanc","noir",57,171,25,26
"nath","roux","bleu",81,155,28,32
"nath","noir","marron",55,188,29,32
"plbrest","brun","noir",85,156,37,46
"plbrest","blond","noir",72,168,18,22
"helene_vincent","noir","bleu",53,181,28,29
"nicog","brun","vert",82,166,38,42
"nicog","blanc","noir",70,177,25,34
"brunaa","blond","bleu",89,195,19,20
"brunaa","noir","vert",79,174,28,28
"brunaa","brun","marron",79,174,24,34
"garciap","roux","noir",65,149,36,38
"eric35","noir","vert",83,154,30,34
"eric35","roux","bleu",63,180,27,37
"patoche","blanc","vert",85,161,33,43
"patoche","brun","vert",77,152,33,33
"patoche","roux","vert",83,187,20,24
"fabrejean","blond","gris",79,189,26,28
"fabrejean","noir","vert",71,162,26,26
"filozof","roux","bleu",84,179,31,31
"filozof","blond","bleu",89,179,40,41
"mercier59","blond","bleu",58,197,27,30
"mercier59","blanc","vert",56,153,25,26
"mercier59","roux","bleu",84,199,29,29
"marie88","roux","vert",81,199,38,40
"marie88","blond","marron",58,200,26,29
"albertmat","noir","marron",59,155,24,31
"albertmat","brun","marron",75,171,18,27
"albertmat","brun","noir",66,167,21,31
"thierry9292","blond","noir",86,172,37,45
"thierry9292","brun","gris",83,180,20,28
"thierry9292","roux","gris",79,149,24,28
"robinm","roux","bleu",57,164,33,41
"robinm","noir","vert",76,194,34,43
"nicoledubois","roux","marron",78,170,21,26
"nicoledubois","roux","vert",75,172,29,39
"serge01","noir","gris",56,151,20,25
"marc_le_grand","blanc","vert",78,196,30,33
"marc_le_grand","blanc","noir",75,177,26,36
"marc_le_grand","roux","vert",75,191,31,32
"isa37","blond","bleu",60,163,25,32
"isa37","noir","noir",56,169,40,49
"raymond_du_13","noir","vert",70,185,26,26
"raymond_du_13","blond","bleu",53,147,19,27
"raymond_du_13","roux","noir",73,155,25,35
"sanchezzz","blanc","bleu",59,172,26,33
"sanchezzz","blanc","vert",70,145,33,38
"sanchezzz","blanc","bleu",82,186,19,29
"isa_belle","brun","vert",80,177,34,37
"isa_belle","noir","bleu",60,176,32,38
"tj007","blond","gris",66,200,33,43
"nicobru","roux","marron",52,190,38,47
"nicobru","brun","gris",84,171,24,33
"domdom1992","blanc","noir",78,173,26,36
"domdom1992","noir","marron",67,165,26,33
"supermatth","brun","vert",75,173,25,31
"ll9933","brun","noir",50,175,28,36
"ll9933","roux","vert",52,195,31,37
"ll9933","brun","vert",89,179,23,25
"paul_bernard","blanc","marron",81,188,30,32
"georgesd","blond","noir",86,186,29,36
"georgesd","blond","marron",51,166,29,34
"georgesd","blanc","bleu",85,195,22,31
"chris96","blanc","marron",63,172,32,41
"ymathieu","noir","noir",53,178,29,30
"ymathieu","brun","vert",58,185,28,32
"meunierbruno","roux","vert",87,175,32,33
"meunierbruno","roux","marron",89,170,37,38
"meunierbruno","roux","noir",56,161,30,35
"claudewhite","blond","noir",60,158,30,32
"claudewhite","roux","noir",65,181,38,48
"soso99","roux","gris",62,190,40,48
"sophie","noir","noir",52,198,28,37
"sophie","blond","gris",74,167,29,37
"sophie","roux","bleu",81,184,24,24
"raygarnier","roux","vert",67,197,38,41
"nath33","noir","gris",75,168,38,40
"nath33","brun","noir",62,188,39,44
"nath33","blanc","noir",80,151,40,47
"martine95","noir","bleu",68,184,31,40
"michmich","blond","gris",69,157,33,38
"alainnn","blond","gris",72,166,30,30
"alainnn","brun","marron",90,167,37,47
"alainnn","blond","vert",77,156,28,36
"_hellene","blond","marron",55,178,30,31
"_hellene","blanc","vert",62,191,31,33
"_hellene","brun","gris",55,194,28,35
