utilisateur,evenement,reponse
"fernanda",1,"participe"
"fernanda",2,"participe"
"fernanda",3,"participe"
"labossdu94",1,"participe"
"labossdu94",2,"participe"
"labossdu94",3,"participe"
"robinm",1,"participe"
"robinm",2,"participe"
"robinm",3,"participe"
"gillesl",1,"participe"
"denisparis",1,"participe"
"nath",1,"participe"
"falin",1,"participe"
"fd1994",1,"participe"
"plbrest",1,"participe"
"helene_vincent",1,"participe"
"nicog",1,"participe"
"michelb",1,"participe"
"brunaa",1,"participe"
"garciap",1,"participe"
"eric35",1,"participe"
"ta_super_copine",1,"participe"
"patoche",1,"participe"
"fabrejean",1,"participe"
"filozof",1,"participe"
"gillesl",2,"participe"
"denisparis",2,"participe"
"nath",2,"participe"
"falin",2,"participe"
"fd1994",2,"participe"
"plbrest",2,"participe"
"helene_vincent",2,"participe"
"nicog",2,"participe"
"michelb",2,"participe"
"brunaa",2,"participe"
"garciap",2,"participe"
"eric35",2,"participe"
"ta_super_copine",2,"participe"
"patoche",2,"participe"
"fabrejean",2,"participe"
"filozof",2,"participe"
"gillesl",3,"participe"
"denisparis",3,"participe"
"nath",3,"participe"
"falin",3,"participe"
"fd1994",3,"participe"
"plbrest",3,"participe"
"helene_vincent",3,"participe"
"nicog",3,"participe"
"michelb",3,"participe"
"brunaa",3,"participe"
"garciap",3,"participe"
"eric35",3,"participe"
"ta_super_copine",3,"participe"
"patoche",3,"participe"
"fabrejean",3,"participe"
"filozof",3,"participe"
"mercier59",1,"interesse"
"marie88",1,"interesse"
"albertmat",1,"interesse"
"robertmasson",1,"interesse"
"thierry9292",1,"interesse"
"nicoledubois",1,"interesse"
"oliver",1,"interesse"
"serge01",1,"interesse"
"marc_le_grand",1,"interesse"
"xddl",1,"interesse"
"isa37",1,"interesse"
"mercier59",2,"interesse"
"marie88",2,"interesse"
"albertmat",2,"interesse"
"robertmasson",2,"interesse"
"thierry9292",2,"interesse"
"nicoledubois",2,"interesse"
"oliver",2,"interesse"
"serge01",2,"interesse"
"marc_le_grand",2,"interesse"
"xddl",2,"interesse"
"isa37",2,"interesse"
"mercier59",3,"interesse"
"marie88",3,"interesse"
"albertmat",3,"interesse"
"robertmasson",3,"interesse"
"thierry9292",3,"interesse"
"nicoledubois",3,"interesse"
"oliver",3,"interesse"
"serge01",3,"interesse"
"marc_le_grand",3,"interesse"
"xddl",3,"interesse"
"isa37",3,"interesse"
"sanchezzz",1,"pas interesse"
"isa_belle",1,"pas interesse"
"tj007",1,"pas interesse"
"nicobru",1,"pas interesse"
"dupontdupond",1,"pas interesse"
"domdom1992",1,"pas interesse"
"supermatth",1,"pas interesse"
"chris94",1,"pas interesse"
"patrick_perez",1,"pas interesse"
"ll9933",1,"pas interesse"
"paul_bernard",1,"pas interesse"
"georgesd",1,"pas interesse"
"sanchezzz",2,"pas interesse"
"isa_belle",2,"pas interesse"
"tj007",2,"pas interesse"
"nicobru",2,"pas interesse"
"dupontdupond",2,"pas interesse"
"domdom1992",2,"pas interesse"
"supermatth",2,"pas interesse"
"chris94",2,"pas interesse"
"patrick_perez",2,"pas interesse"
"ll9933",2,"pas interesse"
"paul_bernard",2,"pas interesse"
"georgesd",2,"pas interesse"
"sanchezzz",3,"pas interesse"
"isa_belle",3,"pas interesse"
"tj007",3,"pas interesse"
"nicobru",3,"pas interesse"
"dupontdupond",3,"pas interesse"
"domdom1992",3,"pas interesse"
"supermatth",3,"pas interesse"
"chris94",3,"pas interesse"
"patrick_perez",3,"pas interesse"
"ll9933",3,"pas interesse"
"paul_bernard",3,"pas interesse"
"georgesd",3,"pas interesse"
