evenement,tag,source
1,"PlaylistObsessed","lbm"
1,"SoundtrackOfMyLife","lbm"
1,"FrontRowFeels","lbm"
1,"SpotifyWrapped","lbm"
1,"NoMusicNoLife","lbm"
1,"ChillAndMusic","lbm"
1,"FrontRowFeels","lbm"
1,"AddictedToMusic","lbm"
1,"MusicMood","lbm"
1,"PopAddict","lbm"
1,"RaveSpirit","lbm"
1,"OrientalGroove","lbm"
1,"BaroqueVibes","lbm"
1,"GrungeMood","lbm"
1,"BlackMetalMood","lbm"
1,"AmbientWave","lbm"
1,"AltRockLover","lbm"
1,"FilmScoreFan","lbm"
1,"GrungeMood","lbm"
1,"VariétéFrançaise","lbm"
2,"NowPlaying","lbm"
2,"ReggaeSpirit","lbm"
2,"PopAddict","lbm"
2,"BackstageDreams","lbm"
2,"ÉmotionsEnMusique","lbm"
2,"MusiqueAvantTout","lbm"
2,"RienNeVautUnLive","lbm"
2,"JazzLover","lbm"
2,"RnBSoul","lbm"
2,"ReleaseRadar","lbm"
2,"OrchestraMood","lbm"
2,"RaiLover","lbm"
2,"QuietStrings","lbm"
2,"DeathcoreAddict","lbm"
2,"BluegrassSpirit","lbm"
2,"GuitarSoloLife","lbm"
2,"CountryRoadsMood","lbm"
2,"DeepHouseVibes","lbm"
2,"ViolinVibes","lbm"
2,"AmericanaLover","lbm"
3,"ChillAndMusic","lbm"
3,"IndieKid","lbm"
3,"MusiqueH24","lbm"
3,"MoodMusical","lbm"
3,"SauterDansLaFoule","lbm"
3,"RnBSoul","lbm"
3,"Melomane","lbm"
3,"FestivalVibes","lbm"
3,"IndieKid","lbm"
3,"UnJourUnConcert","lbm"
3,"AmbientInstrumentals","lbm"
3,"DoomAndDistortion","lbm"
3,"OrientalGroove","lbm"
3,"KpopFan","lbm"
3,"EmoPhase","lbm"
3,"JpopVibes","lbm"
3,"GrungeMood","lbm"
3,"CampfireTunes","lbm"
3,"ClassicalSoul","lbm"
3,"FlamencoSoul","lbm"
4,"RockVibes","lbm"
4,"RienNeVautUnLive","lbm"
4,"IndieKid","lbm"
4,"AddictedToMusic","lbm"
4,"NowPlaying","lbm"
4,"MonAlgorithmeMeConnaît","lbm"
4,"BackstageDreams","lbm"
4,"RapFrançais","lbm"
4,"MoodMusical","lbm"
4,"MusiqueH24","lbm"
4,"ScreamoFeels","lbm"
4,"OrientalGroove","lbm"
4,"ThrashVibes","lbm"
4,"CampfireTunes","lbm"
4,"HardRock","lbm"
4,"80sPopForever","lbm"
4,"JazzLover","lbm"
4,"GarageRock","lbm"
4,"AmbientInstrumentals","lbm"
4,"IndieRock","lbm"
