lieu,tag,source
"UP7","NowPlaying","lbm"
"UP7","MoodMusical","lbm"
"UP7","RockVibes","lbm"
"UP7","MoodMusical","lbm"
"UP7","PlaylistObsessed","lbm"
"UP7","BackstageDreams","lbm"
"UP7","RockVibes","lbm"
"UP7","AlwaysWithMyHeadphones","lbm"
"UP7","MusiqueEnLive","lbm"
"UP7","SauterDansLaFoule","lbm"
"UP7","FolkVibes","lbm"
"UP7","EDMAddict","lbm"
"UP7","BanjoBeat","lbm"
"UP7","SouthernSound","lbm"
"UP7","AmbientWave","lbm"
"UP7","GarageRock","lbm"
"UP7","SmoothJazzOnly","lbm"
"UP7","MinimalGroove","lbm"
"UP7","FlamencoSoul","lbm"
"UP7","SouthernSound","lbm"
